Kode Produk,Nama Produk,Unassigned,GUDANG KEBUN,GUDANG PROCESSING,GUDANG BARANG JADI,GUDANG BAHAN BAKU,GUDANG BINTARO,GUDANG BINTARO PROCESSING,GUDANG BARANG SETENGAH JADI,GUDANG BARANG AFKIR,Kuantitas Total,Satuan Produk
VJENPA25,Jengkol,0,0,0,0.3,0,0,0,0,0,0.3,KG
RM108,Jerami,0,0,0,0,19000,0,0,0,0,19000,KG
FJELELKG,Jeruk Lemon Lokal,-2,0,0,11.5,0,0,0,0,0,9.5,KG
FJLIGR10,Jeruk Limo,-0.2,0,0,0.6,0,0,0,0,0,0.4,KG
FJNPGR25,Jeruk Nipis,-2.25,0,1.5,1.7,0,0,0,0,0.05,1,KG
VKABO1KG,Kaboca,0,0,0,30,0,0,0,0,0,30,KG
VKAKAP25,Kacang Kapri,0,0,0,0,0,0,0,0,0,0,KG
VKCMPA25,Kacang Merah,-0.75,0,0,2.75,0,0,0,0,0,2,KG
VKAPA1KG,Kacang Panjang,-2,0,0,5.9,0,0,0,0,0,3.9,KG
VKAPGR25,Kacang Polong,0,0,0,0,0,0,0,0,0,0,KG
VKACTA25,Kacang Tanah,0,0,0,0.3,0,0,0,0,0,0.3,KG
VKAIL1KG,Kailan,-1.75,0,1,3.35,0,0,0,0,0,2.6,KG
VKAMU1KG,Kaki Mushroom,0,0,0,0,0,0,0,0,0,0,Periode
VKAHI1KG,Kale Hijau,-1.75,0,1.5,0.35,0,0,0,0,1.75,1.85,KG
VKAME1KG,Kale Merah,0,0,0,0,0,0,0,0,0,0,KG
VKANG1KG,Kangkung,-0.75,0,0.8,8.5,0,0,0,0,0,8.55,KG
RM109,Kapok Seed,0,0,0,0,9200,0,0,0,0,9200,KG
FKELAPCS,Kelapa,-1,0,0,10,0,0,0,0,0,9,Pcs
VKEMA1KG,Kemangi,-0.15,0,0,1,0,0,0,0,0,0.85,KG
VKEKO1KG,Kembang Kol,-2.75,0,0,16.63,0,0,0,0,0,13.88,KG
VKEMIPA5,Kemiri,-0.3,0,0,1.05,0,0,0,0,0,0.75,KG
VKENC1KG,Kencur,0,0,0,4,0,0,0,0,0,4,KG
VKENT1KG,Kentang,-8,0,0,61.3,0,0,0,0,0.5,53.8,KG
VKETUPA5,Ketumbar,0,0,0,0.95,0,0,0,0,0,0.95,KG
VKICIW25,Kiciwis,0,0,0,0,0,0,0,0,0,0,KG
KFRMIC1L,Kin Fresh Milk Chocolate,-4,0,0,16,0,0,0,0,0,12,Ltr
KFRMIC20,Kin Fresh Milk Chocolate 200ml,0,0,0,27,0,0,0,0,0,27,200 ml
KFMCF200,Kin Fresh Milk Coffee 200ml,0,0,0,33,0,0,0,0,0,33,200 ml
KFRMFC1L,Kin Fresh Milk Full Cream,-18,0,0,25,0,0,0,0,0,7,Ltr
